"time,s","alice dist, m","alice elev, rads",alice eff,"bob dist, m","bob elev, rads",bob eff,combined eff,combined loss (dB),Block,QBER (%),Alice Prb. Background,Bob Prb Background,Phi,Xi,Offset
174.0,1611990.3387705288,0.23638075884377116,0.0009996558723833191,1131732.4797174018,0.3400812649171611,0.002368847286034667,2.368032100263843e-06,56.25612414756142,1498503.5512436281,0.00016870337901193937,4.5542819285845e-08,4.397715712344156e-08,0.0,0.0,0.0
173.0,1605066.3622381683,0.23835328255875807,0.0010127952560576184,1125176.9661984562,0.3435172450807807,0.0024050954617509577,2.435869274027077e-06,56.133460227272124,1498503.6529361731,0.00017210119109901714,4.5208848487425416e-08,4.365348551633398e-08,0.0,0.0,0.0
172.0,1598145.1492860212,0.2403380933045297,0.0010261480461128717,1118630.5604890476,0.34698697764757747,0.002442067011889421,2.5059222927270283e-06,56.010324003662504,1498503.7579498629,0.00017560995215736428,4.4872797354330914e-08,4.3327797729156945e-08,0.0,0.0,0.0
171.0,1591226.7445352336,0.24233534640302654,0.0010397184918438265,1112093.4315448427,0.35049101047490777,0.0024797791690265793,2.5782722577260525e-06,55.886712243817755,1498503.8664062433,0.00017923372227436973,4.4534639588782636e-08,4.3000068275118237e-08,0.0,0.0,0.0
170.0,1584311.1933309683,0.24434519969791887,0.0010535109419179704,1105565.7520277891,0.35402990204161944,0.0025182496186358797,2.6530035277136554e-06,55.76262172533481,1498503.9784317415,0.0001829767245870193,4.419434846604403e-08,4.267027125363472e-08,0.0,0.0,0.0
169.0,1577398.5417574595,0.2463678136035042,0.00106752984700955,1099047.6984016176,0.3576042216629257,0.002557496510987076,2.730203859101491e-06,55.63804923810007,1498504.0941578767,0.0001868433523089162,4.385189682614201e-08,4.2338380342308825e-08,0.0,0.0,0.0
168.0,1570488.8366534293,0.24840335115466797,0.0010817797625102738,1092539.4510299996,0.3612145497086022,0.002597538473289848,2.809964552746791e-06,55.512991586157625,1498504.2137214795,0.00019083817607402277,4.350725706540803e-08,4.200436878873044e-08,0.0,0.0,0.0
167.0,1563582.1256278811,0.25045197805794606,0.0010962653513190942,1086041.1942774272,0.3648614778244793,0.0026383946220794358,2.8923806072923213e-06,55.38744558967149,1498504.3372649231,0.00019496595161153823,4.316040112783256e-08,4.1668209402098045e-08,0.0,0.0,0.0
166.0,1556678.457076273,0.25251386274370324,0.0011109913867135062,1079553.116612892,0.36854560915714524,0.0026788532797063585,2.9761829200229913e-06,55.263403800094636,1498504.462885474,0.00019916309498429168,4.2811300496230766e-08,4.132987454465681e-08,0.0,0.0,0.0
165.0,1549777.8801970915,0.2545891764194668,0.0011259627553049031,1073075.4107164415,0.37226755858180904,0.0027190947571533054,3.0615994246994524e-06,55.140516323911726,1498504.5909248416,0.0002034410241840904,4.245992618321247e-08,4.098933612294705e-08,0.0,0.0,0.0
164.0,1542880.4450088283,0.25667809312442763,0.001141184460080573,1066608.2735886765,0.376027952933215,0.0027601328552712095,3.1498207221933254e-06,55.01714164171631,1498504.7231679657,0.00020785938353175214,4.210624872195448e-08,4.064656557886108e-08,0.0,0.0,0.0
163.0,1535986.2023673744,0.25878078978514585,0.001156661623535041,1060151.90666328,0.37982743123951934,0.0028019862444034565,3.240949958574554e-06,54.89327674578008,1498504.8597694275,0.00021242333650372793,4.175023815676899e-08,4.030153388050255e-08,0.0,0.0,0.0
162.0,1529095.2039838424,0.2608974462724927,0.0011723994908935458,1053706.5159226465,0.38366664495902364,0.0028446740651714977,3.335094425765137e-06,54.76891865493097,1498505.0008900212,0.0002171382540949264,4.1391864033462745e-08,3.995421151284281e-08,0.0,0.0,0.0
161.0,1522207.5024428286,0.26302824545983694,0.0011876058648761392,1047272.3120166922,0.38754625821960137,0.0028882159394163017,3.430062188679548e-06,54.646980059177174,1498505.1432448807,0.0002218944137389446,4.1092684031014477e-08,3.9664477761665645e-08,0.0,0.0,0.0
160.0,1515323.1512211317,0.2651733732825355,0.0012024695074955324,1040849.510384934,0.3914669480607136,0.0029326319812552244,3.5264005341656172e-06,54.52668361379062,1498505.2876542024,0.0002267192127434482,4.083700021656913e-08,3.941706284477168e-08,0.0,0.0,0.0
159.0,1508442.2047069294,0.2673330187987301,0.00121757540700753,1034438.3313819048,0.39542940467780746,0.0029779428082411987,3.6258699267894244e-06,54.40587779691927,1498505.4367562581,0.00023170077618314995,4.057958599743144e-08,3.916797348503482e-08,0.0,0.0,0.0
158.0,1501564.718219438,0.26950737425149784,0.0012329284529952378,1028039.0004059987,0.39943433166893316,0.0030241695526095538,3.7285846880941974e-06,54.28455988243358,1498505.5907223776,0.0002368448269875737,4.032041845960876e-08,3.8917187509508344e-08,0.0,0.0,0.0
157.0,1494690.7480290646,0.2716966351323795,0.0012485336510237668,1021651.7480318255,0.4034824462833644,0.003071333872596023,3.834663693465277e-06,54.16272718410373,1498505.749730715,0.00024215731602634057,4.0059474301914856e-08,3.866468237057396e-08,0.0,0.0,0.0
156.0,1487820.3513780576,0.27390100024632125,0.001264396125742505,1015276.8101461536,0.4075744796719889,0.0031194579638076014,3.944230563854934e-06,54.040377058801184,1498505.913966536,0.00024764443170489247,3.979672982822944e-08,3.8410435138451566e-08,0.0,0.0,0.0
